"binomial","fb_name"
"Eugerres brasilianus","Eugerres brasilianus"
"Eugerres lineatus","Eugerres lineatus"
"Eugerres plumieri","Eugerres plumieri"
"Euleptorhamphus viridis","Euleptorhamphus viridis"
"Eupleurogrammus muticus","Eupleurogrammus muticus"
"Eusphyra blochii","Eusphyra blochii"
"Eutropiichthys vacha","Eutropiichthys vacha"
"Exechodontes daidaleus","Exechodontes daidaleus"
"Figaro boardmani","Figaro boardmani"
"Fontitrygon margarita","Fontitrygon margarita"
"Fontitrygon margaritella","Fontitrygon margaritella"
"Fontitrygon ukpam","Fontitrygon ukpam"
"Fundulus grandis","Fundulus grandis"
"Fundulus heteroclitus","Fundulus heteroclitus"
"Gadella maraldi","Gadella maraldi"
"Gaidropsarus biscayensis","Gaidropsarus biscayensis"
"Gaidropsarus mediterraneus","Gaidropsarus mediterraneus"
"Gaidropsarus vulgaris","Gaidropsarus vulgaris"
"Galeichthys peruvianus","Galeichthys peruvianus"
"Galeus arae","Galeus arae"
"Galeus atlanticus","Galeus atlanticus"
"Galeus eastmani","Galeus eastmani"
"Galeus murinus","Galeus murinus"
"Galeus nipponensis","Galeus nipponensis"
"Galeus polli","Galeus polli"
"Galeus sauteri","Galeus sauteri"
"Galeus schultzi","Galeus schultzi"
"Gempylus serpens","Gempylus serpens"
"Genicanthus bellus","Genicanthus bellus"
"Genidens barbus","Genidens barbus"
"Genidens genidens","Genidens genidens"
"Geophagus brasiliensis","Geophagus brasiliensis"
"Geophagus sveni","Geophagus sveni"
"Geotria australis","Geotria australis"
"Gephyroberyx darwinii","Gephyroberyx darwinii"
"Gephyroglanis congicus","Gephyroglanis congicus"
"Gerres filamentosus","Gerres filamentosus"
"Gibelion catla","Gibelion catla"
"Girella nebulosa","Girella nebulosa"
"Glossanodon leioglossus","Glossanodon leioglossus"
"Gnathonemus petersii","Gnathonemus petersii"
"Gobiodon acicularis","Gobiodon acicularis"
"Gobionellus oceanicus","Gobionellus oceanicus"
"Gobitrichinotus radiocularis","Gobitrichinotus radiocularis"
"Gonialosa manmina","Gonialosa manmina"
